year,month,barley,dates,cuscuta,cress,sesame,wool
,,gramme silver /100 litre,gramme silver /100 litre,gramme silver /100 litre,gramme silver /100 litre,gramme silver /100 litre,gramme silver per mina (=0.5 kg)
-117,3,,4.87,1.85,35.45,49,
-113,10,,,,,46.28,
-112,2,,,,,,4.17
-112,3,,,,,,4.17
-112,4,,4.77,,13.88,52.35,4.17
-112,5,4.34,4.59,,11.79,51.26,4.17
-112,6,4.14,4.87,,11.57,,5.55
-112,7,4.39,,,,34.71,5.02
-112,8,,,,,34.71,4.17
-111,8,,,,17.35,,
-111,9,,,2.31,20.32,,
-111,10,,,2.31,20.32,,
-110,10,10.41,,,23.14,46.28,4.17
-110,11,10.41,9.26,,23.14,46.28,4.17
-109,4,6.94,,2.31,17.35,,
-109,5,,13.02,2.31,17.35,33.32,4.17
-109,6,,,,,33.32,4.17
-109,7,8.17,12.62,3.09,,,
-109,8,8.17,12.62,3.09,,,
-109,10,,,,23.14,37.02,
-109,11,,,,23.14,,
-108,7,12.06,,,23.14,39.2,
-108,8,,,,23.14,39.2,
-108,9,,,,,,4.17
-108,10,15.8,10.1,2.31,,50.49,4.17
-108,11,,8.58,2.31,,,
-108,12,30.85,9.01,2.31,,,
-107,1,,8.68,,,,
-107,2,22.19,8.67,2.31,49,,
-107,3,20.83,7.94,2.31,49,,
-106,4,16.97,10.41,,51.26,116.73,4.17
-106,5,13.05,10.41,,42.49,107.92,4.17
-106,6,10.98,,3.56,27.77,88.74,
-106,7,,,3.56,27.77,83.3,
-106,8,10.28,14.25,3.7,34.71,103.32,4.76
-106,9,10.44,13.02,4.35,42.81,94.63,5.31
-106,10,10.28,,4.63,38.07,87.68,5.55
-106,11,,,,34.71,,
-105,8,11.11,11.57,,,87.68,
-105,9,11.11,12.62,,,87.68,
-104,4,,,3.09,92.56,,
-104,5,,10.02,3.09,92.56,,
-104,11,,,,,69.42,
-104,12,,11.11,,,69.42,
-103,3,14.79,,,,,
-103,4,14.19,,,,,
-103,5,13.76,,,,,
-103,6,13.88,,,,,
-100,10,,11.57,,,,
-100,11,,11.57,,,,
-100,12,6.94,,,9.58,43.84,8.33
-97,4,27.68,,,,,6.66
-97,5,29.23,,,,,6.66
-97,11,18.93,,3.86,46.28,,
-97,12,18.93,,3.86,49.71,,
-96,1,,,,,62.87,
-96,2,25.15,,,,63.37,
-96,3,,17.35,4.21,37.02,,5.55
-96,4,,16.53,4.21,37.02,72.85,5.55
-96,5,12.62,,,,69.42,5.55
-96,7,15.43,,,,,
-96,8,15.7,,,,69.42,8.33
-96,9,15.87,,,,66.41,8.33
-95,4,,9.26,3.86,,,
-95,5,,9.26,3.86,,74.04,5.55
-95,6,7.75,,,,74.04,5.55
-94,7,8.17,13.91,5.79,37.02,92.56,
-94,8,7.92,14.82,5.79,,,
-93,2,9.26,,,,,
-93,3,9.26,,,,,
-93,4,9.26,,,,,
-91,10,12.34,,,,73.26,5.55
-91,11,12.34,19.51,,,70.3,5.55
-91,12,15.9,20.29,,34.71,86.02,5.55
-90,1,14.67,20.28,2.31,34.71,79.33,
-90,2,12.82,20.83,2.31,,,
-89,11,,,,,111.07,
-89,12,37.02,,3.86,,111.07,
-88,1,37.02,,3.86,,,
-88,3,34.71,16.18,,,,8.33
-88,4,34.71,16.18,,,,8.33
-88,8,,17.29,,,,
-88,9,,18.11,,34.71,154.54,8.33
-88,10,,,,34.71,,8.33
-87,1,,,,,162.73,
-87,2,32.35,24.9,4.21,,166.6,8.33
-87,3,32.43,28.48,4.45,,,8.33
-87,4,32.84,32.35,4.63,,,
-87,5,20.83,,4.63,55.53,,
-87,6,,,4.63,55.53,,
-87,10,,27.77,4.63,,,12.43
-87,11,24.24,,4.63,,,12.43
-87,12,23.14,,,,,12.43
-86,5,17.35,,,,,
-86,8,,14.74,,,87.68,12.43
-86,9,16.66,14.74,,,87.68,12.43
-86,12,13.07,17.87,,,92.56,
-85,1,12.92,16.6,,,103.98,
-85,2,12.34,17.91,,,,
-85,3,12.48,18.09,,,,
-84,6,27.84,24.32,,,,
-84,7,28.61,25.02,,,,
-84,8,,25.24,,,,
-83,4,149.13,43.84,3.09,,,12.43
-83,9,,,,111.07,111.07,8.33
-83,10,69.42,,,111.07,111.07,8.33
-83,12,46.28,17,3.09,,,
-82,1,45.26,15.6,3.09,,,
-82,3,,16.18,,,,
-82,4,26.56,,,,,
-80,4,,,,,,12.43
-80,5,,,,,98,12.43
-80,8,,18.51,4.63,,,
-80,9,,18.51,4.63,,83.3,
-79,9,20.04,16.66,,,,
-79,10,20.83,16.66,,,,
-78,4,,,2.95,,,12.43
-78,5,18.11,16.83,3.06,138.83,119,12.43
-78,6,18.62,16.75,3.09,138.83,114.59,12.43
-78,7,21.07,16.5,4.63,92.56,105.48,12.43
-78,8,20.83,16.2,4.63,109.87,107.48,12.43
-78,9,20.83,16.18,4.63,111.07,107.48,12.43
-78,10,,18.01,,143.88,138.83,12.43
-78,11,,14.91,,,137.6,12.43
-77,1,,17.35,4.63,158.67,,
-77,2,,18.26,4.63,158.67,,
-76,12,17.26,,,,,
-75,1,17.26,,,,,
-74,6,18.51,17,,,,11.11
-74,7,18.51,,,,,11.11
-73,11,,12.34,3.09,,,
-73,12,,12.34,3.09,,,
-63,4,,,4.85,,,
-63,5,,,4.85,,,
-61,10,25.84,,,,,
-61,11,,20.48,,,,
